project_id,project_name,start_date,end_date,budget,team_size
6,Helios,20-02-2022,15-09-2022,800000,6
7,Atlas,10-03-2023,30-09-2023,950000,7
8,Pegasus,01-07-2021,15-01-2022,600000,5
9,Titan,12-11-2022,25-05-2023,1100000,8
10,Mercury,05-05-2023,10-12-2023,850000,6
11,Phoenix,20-01-2024,30-07-2024,1300000,9
12,Luna,15-08-2022,28-02-2023,750000,5
13,Astra,10-09-2023,20-03-2024,1050000,7
14,Vega,25-10-2021,10-05-2022,680000,4
15,Cosmos,18-06-2022,31-12-2022,920000,6
16,Stellar,14-02-2023,29-08-2023,980000,7
17,Nebula,01-04-2024,15-11-2024,1400000,10
18,Pioneer,05-09-2022,18-03-2023,820000,6
19,Odyssey,22-06-2023,05-12-2023,970000,7
20,Aurora,10-12-2021,25-07-2022,720000,5
21,Comet,15-03-2022,01-10-2022,860000,6
22,Galaxy,08-07-2023,22-01-2024,1150000,8
23,Orbit,20-12-2022,30-06-2023,930000,7
24,Eclipse,18-02-2024,05-09-2024,1250000,9
25,Meteor,12-04-2023,28-11-2023,890000,6
